SWC Name,SWC Run Length,# Splits,# Merges,Split Rate,Merge Rate,% Split Edges,% Omit Edges,% Merged Edges,Edge Accuracy,ERL,Normalized ERL
00001,1140.25,7,0,143.7775190893346,,0.12,11.79,0.0,88.21,365.88,0.3209
00002,1688.45,0,0,1688.4478550253832,,0.0,0.0,100.0,0.0,0.0,0.0
00003,2232.64,6,0,325.45755066326467,,0.0,12.63,0.0,87.37,1754.36,0.7858
00004,2290.34,6,0,234.20165720152218,,0.0,39.64,29.01,31.35,297.48,0.1299
00005,290.01,2,0,70.70173492915886,,0.0,50.51,0.0,49.49,78.37,0.2702
00006,501.17,3,0,159.7616022526213,,0.0,4.64,0.0,95.36,229.78,0.4585
00007,365.2,1,0,345.83340292205173,,0.0,5.98,86.06,7.96,27.79,0.0761
00008,680.73,3,0,205.48898373222642,,0.0,10.38,0.0,89.62,290.66,0.427
00009,1228.49,0,0,1228.491637757203,,0.0,0.0,100.0,0.0,0.0,0.0
00010,2885.66,8,0,291.4052745020489,,0.0,19.24,1.45,79.31,1288.08,0.4464
00011,171.7,0,0,171.69867425156795,,0.0,0.0,0.0,100.0,171.7,1.0
00012,3507.25,9,0,369.2118492401533,,0.04,5.77,72.41,21.82,324.33,0.0925
00013,1586.62,14,0,75.58560405243267,,0.17,32.67,0.0,67.33,121.15,0.0764
00014,294.01,2,0,60.16984944552874,,0.0,58.05,0.0,41.95,68.51,0.233
00015,6657.2,17,0,344.4735864590601,,0.06,11.65,2.4,85.95,3835.84,0.5762
00016,705.36,0,0,705.3555628278096,,0.0,0.0,100.0,0.0,0.0,0.0
00017,568.21,1,0,559.7567386887636,,0.0,1.79,0.0,98.21,500.25,0.8804
00018,637.25,1,0,629.6358882870608,,0.0,1.09,0.0,98.91,611.94,0.9603
00019,1640.77,20,0,48.71192296957381,,0.0,39.82,28.68,31.5,36.07,0.022
00020,1690.12,18,0,56.21037580434575,,0.08,39.4,13.5,47.1,61.82,0.0366
00021,932.16,8,0,48.16816904605819,,0.0,59.48,0.0,40.52,62.47,0.067
00022,4927.34,9,1,532.9267258617054,4796.34053275535,0.0,2.7,90.3,7.0,61.48,0.0125
00023,359.81,0,0,359.8126889367228,,0.0,0.0,0.0,100.0,359.81,1.0
00024,240.99,0,0,240.98830418552555,,0.0,0.0,100.0,0.0,0.0,0.0
